,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J09 K08 Pécsbagota,17,7,24,.,.,24,13,13,37,Baranya county,J09 K08 Pécsbagota
J08 K07 Pécsdevecser,23,1,24,.,.,24,20,19,44,Baranya county,J08 K07 Pécsdevecser
J05 K03 Pécsudvard,168,23,191,8,8,199,62,58,261,Baranya county,J05 K03 Pécsudvard
J05 K03 Pellérd,512,101,613,17,17,630,233,200,863,Baranya county,J05 K03 Pellérd
J05 K04 Pereked,32,12,44,2,2,46,25,23,71,Baranya county,J05 K04 Pereked
J08 K07 Peterd,42,4,46,2,2,48,27,24,75,Baranya county,J08 K07 Peterd
J10 K09 Pettend,21,8,29,1,1,30,16,13,46,Baranya county,J10 K09 Pettend
J07 K06 Piskó,51,8,59,3,3,62,21,19,83,Baranya county,J07 K06 Piskó
J01 K02 Pócsa,45,6,51,.,.,51,15,13,66,Baranya county,J01 K02 Pócsa
J05 K03 Pogány,261,47,308,11,11,319,95,88,414,Baranya county,J05 K03 Pogány
J08 K07 Rádfalva,30,16,46,2,2,48,28,23,76,Baranya county,J08 K07 Rádfalva
J05 K03 Regenye,22,13,35,1,1,36,23,16,59,Baranya county,J05 K03 Regenye
J05 K03 Romonya,107,20,127,4,3,131,41,35,172,Baranya county,J05 K03 Romonya
J10 K09 Rózsafa,73,18,91,8,7,99,36,33,135,Baranya county,J10 K09 Rózsafa
J07 K06 Sámod,44,8,52,1,1,53,20,16,73,Baranya county,J07 K06 Sámod
J04 K02 Sárok,23,7,30,2,2,32,17,16,49,Baranya county,J04 K02 Sárok
J04 K02 Sátorhely,145,31,176,5,5,181,60,49,241,Baranya county,J04 K02 Sátorhely
J08 K07 Siklósbodony,20,10,30,2,2,32,7,6,39,Baranya county,J08 K07 Siklósbodony
J08 K07 Siklósnagyfalu,68,37,105,1,1,106,69,69,175,Baranya county,J08 K07 Siklósnagyfalu
J04 K02 Somberek,330,47,377,10,9,387,139,128,526,Baranya county,J04 K02 Somberek
J10 K09 Somogyapáti,90,24,114,4,4,118,55,45,173,Baranya county,J10 K09 Somogyapáti
J10 K09 Somogyhárságy,97,25,122,4,4,126,42,40,168,Baranya county,J10 K09 Somogyhárságy
J10 K09 Somogyhatvan,51,35,86,3,3,89,41,35,130,Baranya county,J10 K09 Somogyhatvan
J10 K09 Somogyviszló,39,21,60,4,4,64,33,33,97,Baranya county,J10 K09 Somogyviszló
J07 K06 Sósvertike,31,13,44,2,2,46,15,14,61,Baranya county,J07 K06 Sósvertike
J09 K08 Sumony,87,30,117,2,2,119,39,34,158,Baranya county,J09 K08 Sumony
J09 K08 Szabadszentkirály,174,48,222,2,2,224,65,55,289,Baranya county,J09 K08 Szabadszentkirály
J02 K05 Szágy,25,8,33,2,2,35,24,17,59,Baranya county,J02 K05 Szágy
J01 K02 Szajk,202,28,230,10,10,240,69,58,309,Baranya county,J01 K02 Szajk
J05 K03 Szalánta,260,49,309,10,10,319,94,76,413,Baranya county,J05 K03 Szalánta
J03 K01 Szalatnak,77,11,88,4,4,92,50,45,142,Baranya county,J03 K01 Szalatnak
J08 K07 Szaporca,39,21,60,.,.,60,32,27,92,Baranya county,J08 K07 Szaporca
J03 K01 Szárász,5,1,6,2,2,8,10,8,18,Baranya county,J03 K01 Szárász
J03 K01 Szászvár,587,95,682,17,17,699,292,269,991,Baranya county,J03 K01 Szászvár
J08 K07 Szava,62,19,81,5,5,86,55,54,141,Baranya county,J08 K07 Szava
J04 K02 Szebény,67,25,92,1,1,93,54,48,147,Baranya county,J04 K02 Szebény
J01 K02 Szederkény,383,64,447,23,23,470,150,126,620,Baranya county,J01 K02 Szederkény
J04 K02 Székelyszabar,139,29,168,4,4,172,57,52,229,Baranya county,J04 K02 Székelyszabar
J06 K04 Szellõ,27,5,32,1,1,33,35,33,68,Baranya county,J06 K04 Szellõ
J05 K03 Szemely,92,25,117,3,3,120,51,48,171,Baranya county,J05 K03 Szemely
J09 K09 Szentdénes,69,13,82,1,1,83,44,44,127,Baranya county,J09 K09 Szentdénes
J10 K09 Szentegát,70,25,95,3,3,98,57,53,155,Baranya county,J10 K09 Szentegát
J09 K08 Szentkatalin,15,4,19,1,1,20,25,23,45,Baranya county,J09 K08 Szentkatalin
J10 K09 Szentlászló,192,35,227,6,6,233,65,59,298,Baranya county,J10 K09 Szentlászló
J05 K04 Szilágy,51,15,66,1,1,67,37,29,104,Baranya county,J05 K04 Szilágy
J05 K03 Szilvás,30,8,38,3,3,41,14,14,55,Baranya county,J05 K03 Szilvás
J05 K03 Szõke,31,11,42,1,1,43,14,11,57,Baranya county,J05 K03 Szõke
J05 K03 Szõkéd,72,16,88,5,5,93,41,39,134,Baranya county,J05 K03 Szõkéd
J10 K09 Szörény,13,4,17,1,1,18,6,6,24,Baranya county,J10 K09 Szörény
J10 K09 Szulimán,50,16,66,.,.,66,30,28,96,Baranya county,J10 K09 Szulimán
J04 K02 Szûr,53,10,63,11,11,74,26,23,100,Baranya county,J04 K02 Szûr
J02 K05 Tarrós,30,5,35,.,.,35,21,19,56,Baranya county,J02 K05 Tarrós
J02 K05 Tékes,52,17,69,.,.,69,21,17,90,Baranya county,J02 K05 Tékes
J10 K09 Teklafalu,67,16,83,.,.,83,49,43,132,Baranya county,J10 K09 Teklafalu
J07 K03 Tengeri,11,2,13,.,.,13,7,7,20,Baranya county,J07 K03 Tengeri
J08 K07 Tésenfa,44,12,56,1,1,57,21,19,78,Baranya county,J08 K07 Tésenfa
J07 K03 Téseny,47,18,65,6,6,71,27,24,98,Baranya county,J07 K03 Téseny
J03 K01 Tófû,30,7,37,1,1,38,13,12,51,Baranya county,J03 K01 Tófû
J02 K05 Tormás,57,11,68,5,5,73,37,30,110,Baranya county,J02 K05 Tormás
J10 K09 Tótszentgyörgy,26,10,36,1,1,37,33,31,70,Baranya county,J10 K09 Tótszentgyörgy
J01 K02 Töttös,141,19,160,5,5,165,60,54,225,Baranya county,J01 K02 Töttös
J08 K07 Túrony,65,7,72,1,1,73,29,24,102,Baranya county,J08 K07 Túrony
J04 K02 Udvar,24,8,32,3,3,35,20,12,55,Baranya county,J04 K02 Udvar
J08 K07 Újpetre,230,54,284,4,4,288,111,98,399,Baranya county,J08 K07 Újpetre
J07 K06 Vajszló,419,84,503,15,15,518,181,166,699,Baranya county,J07 K06 Vajszló
J10 K09 Várad,19,8,27,2,2,29,14,12,43,Baranya county,J10 K09 Várad
J02 K05 Varga,24,6,30,.,.,30,10,10,40,Baranya county,J02 K05 Varga
J10 K09 Vásárosbéc,40,12,52,.,.,52,21,20,73,Baranya county,J10 K09 Vásárosbéc
J02 K05 Vásárosdombó,252,49,301,.,.,301,96,89,397,Baranya county,J02 K05 Vásárosdombó
J02 K05 Vázsnok,24,8,32,1,1,33,21,20,54,Baranya county,J02 K05 Vázsnok
J07 K06 Vejti,33,8,41,2,2,43,20,19,63,Baranya county,J07 K06 Vejti
J03 K01 Vékény,26,7,33,2,2,35,18,15,53,Baranya county,J03 K01 Vékény
J09 K08 Velény,23,7,30,2,2,32,21,21,53,Baranya county,J09 K08 Velény
J04 K02 Véménd,316,69,385,12,12,397,190,174,587,Baranya county,J04 K02 Véménd
J01 K02 Versend,194,37,231,9,9,240,57,52,297,Baranya county,J01 K02 Versend
J08 K07 Villánykövesd,64,12,76,2,1,78,29,22,107,Baranya county,J08 K07 Villánykövesd
J08 K07 Vokány,193,32,225,10,10,235,102,90,337,Baranya county,J08 K07 Vokány
J10 K09 Zádor,73,8,81,1,1,82,71,65,153,Baranya county,J10 K09 Zádor
J07 K06 Zaláta,52,11,63,3,3,66,41,34,107,Baranya county,J07 K06 Zaláta
J06 K04 Zengõvárkony,91,21,112,7,7,119,50,44,169,Baranya county,J06 K04 Zengõvárkony
J09 K08 Zók,59,12,71,5,5,76,32,28,108,Baranya county,J09 K08 Zók
County total,80874,20211,101085,2257,2212,103342,56698,51334,160040,Baranya county,County total
Towns of county right,23112,6654,29766,279,271,30045,17089,15818,47134,Bács-Kiskun county,Towns of county right
Other towns,51528,13284,64812,819,796,65631,35806,33161,101437,Bács-Kiskun county,Other towns
Towns together,74640,19938,94578,1098,1067,95676,52895,48979,148571,Bács-Kiskun county,Towns together
Villages,37032,7949,44981,680,663,45661,23517,21526,69178,Bács-Kiskun county,Villages
County total,111672,27887,139559,1778,1730,141337,76412,70505,217749,Bács-Kiskun county,County total
Districts,,,,,,,,,,Bács-Kiskun county,Districts
J01 Bácsalmási,4385,1014,5399,69,69,5468,3148,2909,8616,Bács-Kiskun county,J01 Bácsalmási
J02 Bajai,14236,3666,17902,224,219,18126,10057,9211,28183,Bács-Kiskun county,J02 Bajai
J03 Jánoshalmai,3414,1083,4497,47,47,4544,3221,2990,7765,Bács-Kiskun county,J03 Jánoshalmai
J04 Kalocsai,11671,2588,14259,175,168,14434,7650,7067,22084,Bács-Kiskun county,J04 Kalocsai
J05 Kecskeméti,32637,8679,41316,507,490,41823,22364,20604,64187,Bács-Kiskun county,J05 Kecskeméti
J06 Kiskõrösi,12325,2656,14981,214,210,15195,7775,7196,22970,Bács-Kiskun county,J06 Kiskõrösi
J07 Kiskunfélegyházi,7896,2163,10059,113,110,10172,5753,5307,15925,Bács-Kiskun county,J07 Kiskunfélegyházi
J08 Kiskunhalasi,9212,2616,11828,143,139,11971,6442,5993,18413,Bács-Kiskun county,J08 Kiskunhalasi
J09 Kiskunmajsai,4082,925,5007,70,68,5077,2692,2481,7769,Bács-Kiskun county,J09 Kiskunmajsai
J10 Kunszentmiklósi,6748,1389,8137,129,125,8266,4043,3738,12309,Bács-Kiskun county,J10 Kunszentmiklósi
J11 Tiszakécskei,5066,1108,6174,87,85,6261,3267,3009,9528,Bács-Kiskun county,J11 Tiszakécskei
Statistical micro-regions,,,,,,,,,,Bács-Kiskun county,Statistical micro-regions
K01 Bácsalmási,3571,816,4387,50,50,4437,2648,2446,7085,Bács-Kiskun county,K01 Bácsalmási
K02 Bajai,15338,3927,19265,251,246,19516,10742,9846,30258,Bács-Kiskun county,K02 Bajai
K03 Jánoshalmai,3126,1020,4146,39,39,4185,3036,2818,7221,Bács-Kiskun county,K03 Jánoshalmai
K04 Kalocsai,11634,2575,14209,175,168,14384,7623,7045,22007,Bács-Kiskun county,K04 Kalocsai
K05 Kecskeméti,36052,9440,45492,562,544,46054,24616,22704,70670,Bács-Kiskun county,K05 Kecskeméti
K06 Kiskõrösi,12325,2656,14981,214,210,15195,7775,7196,22970,Bács-Kiskun county,K06 Kiskõrösi
K07 Kiskunfélegyházai,9547,2510,12057,145,141,12202,6768,6216,18970,Bács-Kiskun county,K07 Kiskunfélegyházai
K08 Kiskunhalasi,9212,2616,11828,143,139,11971,6442,5993,18413,Bács-Kiskun county,K08 Kiskunhalasi
K09 Kiskunmajsai,4082,925,5007,70,68,5077,2692,2481,7769,Bács-Kiskun county,K09 Kiskunmajsai
K10 Kunszentmiklósi,6785,1402,8187,129,125,8316,4070,3760,12386,Bács-Kiskun county,K10 Kunszentmiklósi
Size-groups of population,,,,,,,,,,Bács-Kiskun county,Size-groups of population
Towns,,,,,,,,,,Bács-Kiskun county,Towns
Together,74640,19938,94578,1098,1067,95676,52895,48979,148571,Bács-Kiskun county,Together
Villages,,,,,,,,,,Bács-Kiskun county,Villages
  199 and less,MIND=1,24,88,1,1,89,58,45,147,Bács-Kiskun county,  199 and less
Together,37032,7949,44981,680,663,45661,23517,21526,69178,Bács-Kiskun county,Together
Total,111672,27887,139559,1778,1730,141337,76412,70505,217749,Bács-Kiskun county,Total
Of which:,,,,,,,,,,Bács-Kiskun county,Of which:
Data of localities,,,,,,,,,,Bács-Kiskun county,Data of localities
County seat,,,,,,,,,,Bács-Kiskun county,County seat
J05 K05 Kecskemét,23112,6654,29766,279,271,30045,17089,15818,47134,Bács-Kiskun county,J05 K05 Kecskemét
Other towns,,,,,,,,,,Bács-Kiskun county,Other towns
J01 K01 Bácsalmás,1538,315,1853,30,30,1883,1040,955,2923,Bács-Kiskun county,J01 K01 Bácsalmás
J02 K02 Baja,7598,2147,9745,96,95,9841,5873,5426,15714,Bács-Kiskun county,J02 K02 Baja
J10 K10 Dunavecse,859,185,1044,9,9,1053,503,457,1556,Bács-Kiskun county,J10 K10 Dunavecse
J04 K04 Hajós,758,134,892,19,19,911,377,341,1288,Bács-Kiskun county,J04 K04 Hajós
J06 K06 Izsák,1233,330,1563,19,19,1582,842,788,2424,Bács-Kiskun county,J06 K06 Izsák
J03 K03 Jánoshalma,1737,591,2328,19,19,2347,1600,1481,3947,Bács-Kiskun county,J03 K03 Jánoshalma
J04 K04 Kalocsa,3595,1025,4620,48,46,4668,2677,2499,7345,Bács-Kiskun county,J04 K04 Kalocsa
J06 K06 Kecel,1993,388,2381,35,34,2416,1148,1058,3564,Bács-Kiskun county,J06 K06 Kecel
J05 K05 Kerekegyháza,1387,291,1678,24,24,1702,804,741,2506,Bács-Kiskun county,J05 K05 Kerekegyháza
J06 K06 Kiskõrös,3166,778,3944,52,52,3996,2077,1942,6073,Bács-Kiskun county,J06 K06 Kiskõrös
J07 K07 Kiskunfélegyháza,6315,1783,8098,77,75,8175,4648,4284,12823,Bács-Kiskun county,J07 K07 Kiskunfélegyháza
J08 K08 Kiskunhalas,5746,1844,7590,78,75,7668,4260,3972,11928,Bács-Kiskun county,J08 K08 Kiskunhalas
J09 K09 Kiskunmajsa,2313,607,2920,46,44,2966,1566,1436,4532,Bács-Kiskun county,J09 K09 Kiskunmajsa
J10 K10 Kunszentmiklós,1888,401,2289,58,55,2347,1026,957,3373,Bács-Kiskun county,J10 K10 Kunszentmiklós
J05 K05 Lajosmizse,2265,526,2791,83,77,2874,1331,1200,4205,Bács-Kiskun county,J05 K05 Lajosmizse
J03 K03 Mélykút,1038,328,1366,11,11,1377,1058,989,2435,Bács-Kiskun county,J03 K03 Mélykút
J04 K04 Solt,1579,251,1830,23,22,1853,835,769,2688,Bács-Kiskun county,J04 K04 Solt
J06 K06 Soltvadkert,1666,368,2034,27,26,2061,908,844,2969,Bács-Kiskun county,J06 K06 Soltvadkert
J10 K10 Szabadszállás,1411,277,1688,5,5,1693,981,923,2674,Bács-Kiskun county,J10 K10 Szabadszállás
J11 K05 Tiszakécske,2480,541,3021,45,44,3066,1641,1528,4707,Bács-Kiskun county,J11 K05 Tiszakécske
J08 K08 Tompa,963,174,1137,15,15,1152,611,571,1763,Bács-Kiskun county,J08 K08 Tompa
Villages,,,,,,,,,,Bács-Kiskun county,Villages
J05 K05 Ágasegyháza,381,116,497,10,10,507,265,230,772,Bács-Kiskun county,J05 K05 Ágasegyháza
J06 K06 Akasztó,826,130,956,16,16,972,439,401,1411,Bács-Kiskun county,J06 K06 Akasztó
J10 K10 Apostag,487,78,565,2,2,567,303,282,870,Bács-Kiskun county,J10 K10 Apostag
J01 K02 Bácsbokod,577,156,733,17,17,750,381,352,1131,Bács-Kiskun county,J01 K02 Bácsbokod
J01 K02 Bácsborsód,237,42,279,2,2,281,119,111,400,Bács-Kiskun county,J01 K02 Bácsborsód
J02 K02 Bácsszentgyörgy,27,11,38,1,1,39,31,23,70,Bács-Kiskun county,J02 K02 Bácsszentgyörgy
J01 K01 Bácsszõlõs,78,16,94,.,.,94,65,63,159,Bács-Kiskun county,J01 K01 Bácsszõlõs
J05 K05 Ballószög,713,107,820,14,12,834,242,215,1076,Bács-Kiskun county,J05 K05 Ballószög
J08 K08 Balotaszállás,321,73,394,11,10,405,192,178,597,Bács-Kiskun county,J08 K08 Balotaszállás
J02 K02 Bátmonostor,325,88,413,11,11,424,237,216,661,Bács-Kiskun county,J02 K02 Bátmonostor
J04 K04 Bátya,449,121,570,6,5,576,295,261,871,Bács-Kiskun county,J04 K04 Bátya
J06 K06 Bócsa,411,62,473,6,6,479,222,198,701,Bács-Kiskun county,J06 K06 Bócsa
J03 K03 Borota,276,76,352,6,6,358,301,280,659,Bács-Kiskun county,J03 K03 Borota
J07 K07 Bugac,587,137,724,7,7,731,470,440,1201,Bács-Kiskun county,J07 K07 Bugac
J07 K07 Bugacpusztaháza,63,10,73,1,1,74,38,34,112,Bács-Kiskun county,J07 K07 Bugacpusztaháza
J06 K06 Császártöltés,555,87,642,15,15,657,329,294,986,Bács-Kiskun county,J06 K06 Császártöltés
J02 K02 Csátalja,346,56,402,8,8,410,202,180,612,Bács-Kiskun county,J02 K02 Csátalja
J02 K02 Csávoly,392,126,518,9,9,527,261,227,788,Bács-Kiskun county,J02 K02 Csávoly
J06 K06 Csengõd,491,87,578,5,4,583,351,328,934,Bács-Kiskun county,J06 K06 Csengõd
J01 K01 Csikéria,197,37,234,2,2,236,163,153,399,Bács-Kiskun county,J01 K01 Csikéria
J09 K09 Csólyospálos,377,64,441,13,13,454,227,204,681,Bács-Kiskun county,J09 K09 Csólyospálos
J02 K02 Dávod,442,103,545,4,4,549,375,350,924,Bács-Kiskun county,J02 K02 Dávod
J04 K04 Drágszél,65,18,83,1,1,84,56,47,140,Bács-Kiskun county,J04 K04 Drágszél
J10 K10 Dunaegyháza,312,78,390,9,9,399,225,202,624,Bács-Kiskun county,J10 K10 Dunaegyháza
J02 K02 Dunafalva,190,39,229,6,5,235,178,157,413,Bács-Kiskun county,J02 K02 Dunafalva
J04 K04 Dunapataj,725,159,884,6,5,890,556,513,1446,Bács-Kiskun county,J04 K04 Dunapataj
J04 K04 Dunaszentbenedek,178,56,234,1,1,235,168,158,403,Bács-Kiskun county,J04 K04 Dunaszentbenedek
J04 K04 Dunatetétlen,133,23,156,3,3,159,71,65,230,Bács-Kiskun county,J04 K04 Dunatetétlen
J04 K04 Dusnok,694,129,823,8,8,831,379,351,1210,Bács-Kiskun county,J04 K04 Dusnok
J02 K02 Érsekcsanád,624,113,737,8,8,745,257,230,1002,Bács-Kiskun county,J02 K02 Érsekcsanád
J02 K02 Érsekhalma,148,25,173,3,3,176,75,64,251,Bács-Kiskun county,J02 K02 Érsekhalma
J04 K04 Fajsz,392,70,462,4,4,466,312,295,778,Bács-Kiskun county,J04 K04 Fajsz
J05 K05 Felsõlajos,191,42,233,3,3,236,116,109,352,Bács-Kiskun county,J05 K05 Felsõlajos
J02 K02 Felsõszentiván,379,94,473,6,6,479,309,279,788,Bács-Kiskun county,J02 K02 Felsõszentiván
J04 K04 Foktõ,352,86,438,7,7,445,239,214,684,Bács-Kiskun county,J04 K04 Foktõ
J05 K05 Fülöpháza,190,39,229,1,1,230,125,118,355,Bács-Kiskun county,J05 K05 Fülöpháza
J05 K07 Fülöpjakab,255,38,293,8,8,301,143,132,444,Bács-Kiskun county,J05 K07 Fülöpjakab
J06 K06 Fülöpszállás,443,121,564,12,11,576,386,356,962,Bács-Kiskun county,J06 K06 Fülöpszállás
J02 K02 Gara,433,109,542,20,19,562,289,257,851,Bács-Kiskun county,J02 K02 Gara
J07 K07 Gátér,223,48,271,4,4,275,130,116,405,Bács-Kiskun county,J07 K07 Gátér
J04 K04 Géderlak,241,51,292,2,2,294,157,145,451,Bács-Kiskun county,J04 K04 Géderlak
J08 K08 Harkakötöny,196,52,248,5,5,253,86,80,339,Bács-Kiskun county,J08 K08 Harkakötöny
J04 K04 Harta,885,124,1009,10,9,1019,451,427,1470,Bács-Kiskun county,J04 K04 Harta
J05 K05 Helvécia,959,211,1170,21,21,1191,428,391,1619,Bács-Kiskun county,J05 K05 Helvécia
J02 K02 Hercegszántó,452,105,557,7,7,564,365,342,929,Bács-Kiskun county,J02 K02 Hercegszántó
J04 K04 Homokmégy,315,54,369,10,10,379,233,211,612,Bács-Kiskun county,J04 K04 Homokmégy
J06 K06 Imrehegy,148,41,189,5,5,194,98,90,292,Bács-Kiskun county,J06 K06 Imrehegy
J05 K05 Jakabszállás,592,119,711,11,11,722,331,303,1053,Bács-Kiskun county,J05 K05 Jakabszállás
J09 K09 Jászszentlászló,549,120,669,10,10,679,363,341,1042,Bács-Kiskun county,J09 K09 Jászszentlászló
J06 K06 Kaskantyú,203,40,243,4,4,247,144,132,391,Bács-Kiskun county,J06 K06 Kaskantyú
J01 K01 Katymár,413,106,519,6,6,525,289,268,814,Bács-Kiskun county,J01 K01 Katymár
J08 K08 Kelebia,565,131,696,6,6,702,408,381,1110,Bács-Kiskun county,J08 K08 Kelebia
J03 K03 Kéleshalom,75,25,100,3,3,103,77,68,180,Bács-Kiskun county,J03 K03 Kéleshalom
J08 K08 Kisszállás,569,113,682,13,13,695,384,355,1079,Bács-Kiskun county,J08 K08 Kisszállás
J09 K09 Kömpöc,168,31,199,1,1,200,103,94,303,Bács-Kiskun county,J09 K09 Kömpöc
J10 K10 Kunadacs,348,72,420,9,9,429,194,178,623,Bács-Kiskun county,J10 K10 Kunadacs
J01 K01 Kunbaja,361,65,426,3,3,429,254,226,683,Bács-Kiskun county,J01 K01 Kunbaja
J05 K05 Kunbaracs,131,30,161,3,3,164,103,96,267,Bács-Kiskun county,J05 K05 Kunbaracs
J08 K08 Kunfehértó,483,130,613,7,7,620,293,265,913,Bács-Kiskun county,J08 K08 Kunfehértó
J10 K10 Kunpeszér,162,29,191,2,2,193,93,83,286,Bács-Kiskun county,J10 K10 Kunpeszér
J05 K07 Kunszállás,356,84,440,7,7,447,229,207,676,Bács-Kiskun county,J05 K07 Kunszállás
J05 K05 Ladánybene,346,70,416,12,12,428,185,160,613,Bács-Kiskun county,J05 K05 Ladánybene
J11 K05 Lakitelek,964,223,1187,10,10,1197,650,608,1847,Bács-Kiskun county,J11 K05 Lakitelek
J01 K01 Madaras,623,167,790,6,6,796,496,467,1292,Bács-Kiskun county,J01 K01 Madaras
J01 K01 Mátételke,107,14,121,2,2,123,101,93,224,Bács-Kiskun county,J01 K01 Mátételke
J04 K04 Miske,369,95,464,9,9,473,228,205,701,Bács-Kiskun county,J04 K04 Miske
J09 K09 Móricgát,116,17,133,.,.,133,73,66,206,Bács-Kiskun county,J09 K09 Móricgát
J02 K02 Nagybaracska,480,107,587,10,10,597,327,293,924,Bács-Kiskun county,J02 K02 Nagybaracska
J02 K02 Nemesnádudvar,434,93,527,9,9,536,203,185,739,Bács-Kiskun county,J02 K02 Nemesnádudvar
J05 K05 Nyárlõrinc,501,118,619,9,8,628,273,241,901,Bács-Kiskun county,J05 K05 Nyárlõrinc
J04 K04 Ordas,101,24,125,.,.,125,72,68,197,Bács-Kiskun county,J04 K04 Ordas
J05 K05 Orgovány,739,149,888,11,11,899,497,459,1396,Bács-Kiskun county,J05 K05 Orgovány
J04 K04 Öregcsertõ,188,41,229,5,5,234,115,103,349,Bács-Kiskun county,J04 K04 Öregcsertõ
J06 K06 Páhi,265,53,318,2,2,320,193,179,513,Bács-Kiskun county,J06 K06 Páhi
J07 K07 Pálmonostora,381,110,491,13,12,504,289,267,793,Bács-Kiskun county,J07 K07 Pálmonostora
J07 K07 Petõfiszállás,327,75,402,11,11,413,178,166,591,Bács-Kiskun county,J07 K07 Petõfiszállás
J08 K08 Pirtó,206,52,258,4,4,262,102,94,364,Bács-Kiskun county,J08 K08 Pirtó
J03 K02 Rém,288,63,351,8,8,359,185,172,544,Bács-Kiskun county,J03 K02 Rém
J06 K06 Soltszentimre,286,55,341,4,4,345,200,184,545,Bács-Kiskun county,J06 K06 Soltszentimre
J02 K02 Sükösd,882,192,1074,3,2,1077,495,458,1572,Bács-Kiskun county,J02 K02 Sükösd
J04 K04 Szakmár,300,50,350,5,4,355,170,156,525,Bács-Kiskun county,J04 K04 Szakmár
J10 K10 Szalkszentmárton,678,123,801,15,14,816,375,346,1191,Bács-Kiskun county,J10 K10 Szalkszentmárton
J09 K09 Szank,559,86,645,.,.,645,360,340,1005,Bács-Kiskun county,J09 K09 Szank
J11 K05 Szentkirály,409,82,491,10,10,501,216,194,717,Bács-Kiskun county,J11 K05 Szentkirály
J02 K02 Szeremle,312,77,389,8,7,397,186,166,583,Bács-Kiskun county,J02 K02 Szeremle
J06 K06 Tabdi,256,36,292,5,5,297,167,154,464,Bács-Kiskun county,J06 K06 Tabdi
J10 K10 Tass,603,146,749,20,20,769,343,310,1112,Bács-Kiskun county,J10 K10 Tass
J01 K01 Tataháza,254,96,350,1,1,351,240,221,591,Bács-Kiskun county,J01 K01 Tataháza
J06 K06 Tázlár,383,80,463,7,7,470,271,248,741,Bács-Kiskun county,J06 K06 Tázlár
J11 K07 Tiszaalpár,1040,225,1265,17,16,1282,643,570,1925,Bács-Kiskun county,J11 K07 Tiszaalpár
J11 K05 Tiszaug,173,37,210,5,5,215,117,109,332,Bács-Kiskun county,J11 K05 Tiszaug
J04 K10 Újsolt,37,13,50,.,.,50,27,22,77,Bács-Kiskun county,J04 K10 Újsolt
J04 K04 Újtelek,75,17,92,1,1,93,92,87,185,Bács-Kiskun county,J04 K04 Újtelek
J04 K04 Uszód,240,47,287,7,7,294,140,130,434,Bács-Kiskun county,J04 K04 Uszód
J05 K05 Városföld,519,85,604,11,11,615,203,184,818,Bács-Kiskun county,J05 K05 Városföld
J02 K02 Vaskút,772,181,953,15,15,968,394,358,1362,Bács-Kiskun county,J02 K02 Vaskút
J08 K08 Zsana,163,47,210,4,4,214,106,97,320,Bács-Kiskun county,J08 K08 Zsana
County total,111672,27887,139559,1778,1730,141337,76412,70505,217749,Bács-Kiskun county,County total
Towns of county right,13262,3716,16978,153,150,17131,10274,9576,27405,Békés county,Towns of county right
Other towns,44789,11523,56312,666,652,56978,30800,28358,87778,Békés county,Other towns
Towns together,58051,15239,73290,819,802,74109,41074,37934,115183,Békés county,Towns together
Villages,19605,4646,24251,276,272,24527,13977,12894,38504,Békés county,Villages
County total,77656,19885,97541,1095,1074,98636,55051,50828,153687,Békés county,County total
Districts,,,,,,,,,,Békés county,Districts
J01 Békéscsabai,18106,4845,22951,245,241,23196,13157,12207,36353,Békés county,J01 Békéscsabai
J02 Békési,7781,2015,9796,161,153,9957,5144,4721,15101,Békés county,J02 Békési
J03 Gyomaendrõdi,5236,1331,6567,66,66,6633,3535,3255,10168,Békés county,J03 Gyomaendrõdi
